date,state,district,pincode,demo_age_5_17,demo_age_17_plus
2025-03-01,Bihar,Patna,803201,210,1555
2025-03-01,Bihar,East Champaran,845426,162,1671
2025-03-01,Bihar,Nawada,805130,144,1468
2025-03-01,Bihar,Bhojpur,802208,54,685
2025-03-01,Bihar,Sitamarhi,843326,89,665
2025-03-01,Bihar,Madhepura,852210,176,2672
2025-03-01,Bihar,Nawada,805104,108,1173
2025-03-01,Bihar,Sitamarhi,843318,68,836
2025-03-01,Bihar,Patna,800025,24,170
2025-03-01,Bihar,Samastipur,848236,81,871
2025-03-01,Bihar,Nalanda,801304,47,441
2025-03-01,Bihar,East Champaran,845315,86,631
2025-03-01,Bihar,Bhagalpur,813203,138,977
2025-03-01,Bihar,Rohtas,802218,81,639
2025-03-01,Bihar,Madhubani,847305,15,218
2025-03-01,Bihar,Madhubani,847223,124,1764
2025-03-01,Bihar,Siwan,841287,28,295
2025-03-01,Bihar,West Champaran,845452,243,2665
2025-03-01,Bihar,Samastipur,848207,174,1306
2025-03-01,Bihar,Siwan,841210,55,482
2025-03-01,Bihar,Darbhanga,847102,12,134
2025-03-01,Bihar,East Champaran,845423,67,774
2025-03-01,Bihar,Saran,841101,200,1880
2025-03-01,Bihar,Begusarai,851219,15,159
2025-03-01,Bihar,Saharsa,852123,150,1351
2025-03-01,Bihar,Madhubani,847403,50,741
2025-03-01,Bihar,East Champaran,845433,146,1639
2025-03-01,Bihar,Samastipur,848502,71,777
2025-03-01,Bihar,Muzaffarpur,843126,81,1108
2025-03-01,Bihar,Rohtas,802219,76,602
2025-03-01,Bihar,Darbhanga,846009,104,1382
2025-03-01,Bihar,Siwan,841231,76,853
2025-03-01,Bihar,Begusarai,848202,205,1738
2025-03-01,Bihar,Darbhanga,847105,118,1283
2025-03-01,Bihar,Vaishali,844113,72,665
2025-03-01,Bihar,Siwan,841235,52,431
2025-03-01,Bihar,Lakhisarai,811112,47,415
2025-03-01,Bihar,Vaishali,844120,12,84
2025-03-01,Bihar,Patna,804451,137,1186
2025-03-01,Bihar,Nalanda,803118,76,961
2025-03-01,Bihar,Madhubani,847226,181,1952
2025-03-01,Bihar,Arwal,804401,45,486
2025-03-01,Bihar,Siwan,841509,21,256
2025-03-01,Bihar,Rohtas,802221,15,127
2025-03-01,Bihar,Nawada,805101,24,222
2025-03-01,Bihar,Begusarai,851218,73,800
2025-03-01,Bihar,Patna,801506,14,138
2025-03-01,Bihar,Purnia,854315,389,5134
2025-03-01,Bihar,Vaishali,844134,12,84
2025-03-01,Bihar,Muzaffarpur,843120,106,985
2025-03-01,Bihar,Kaimur (Bhabua),821109,242,2039
2025-03-01,Bihar,Purnia,854306,13,36
2025-03-01,Bihar,Saran,841205,87,885
2025-03-01,Bihar,Rohtas,821307,45,469
2025-03-01,Bihar,Muzaffarpur,843146,17,206
2025-03-01,Bihar,Khagaria,851202,42,327
2025-03-01,Bihar,Patna,800002,76,757
2025-03-01,Bihar,Siwan,841439,100,893
2025-03-01,Bihar,Siwan,841243,65,677
2025-03-01,Bihar,Nalanda,803110,201,2207
2025-03-01,Bihar,Madhubani,847308,60,745
2025-03-01,Bihar,Jamui,811303,128,1509
2025-03-01,Bihar,Muzaffarpur,843328,13,232
2025-03-01,Bihar,Kishanganj,855117,108,3134
2025-03-01,Bihar,Saran,841412,60,1026
2025-03-01,Bihar,Bhojpur,802314,38,338
2025-04-01,Bihar,West Champaran,845438,789,4522
2025-03-01,Bihar,Siwan,841506,107,920
2025-03-01,Bihar,Darbhanga,847204,20,184
2025-03-01,Bihar,Lakhisarai,811106,148,1267
2025-03-01,Bihar,Patna,803110,47,323
2025-03-01,Bihar,Buxar,802118,37,288
2025-03-01,Bihar,Jehanabad,804454,17,148
2025-03-01,Bihar,Madhubani,847213,22,304
2025-03-01,Bihar,Jehanabad,804417,74,578
2025-03-01,Bihar,Madhubani,847232,113,1066
2025-03-01,Bihar,Gaya,824116,20,121
2025-03-01,Bihar,Begusarai,851131,162,1161
2025-03-01,Bihar,Saran,841411,105,866
2025-03-01,Bihar,Gaya,804424,31,242
2025-03-01,Bihar,Siwan,841502,22,226
2025-03-01,Bihar,Siwan,841233,53,651
2025-03-01,Bihar,Sheohar,843316,35,344
2025-03-01,Bihar,Patna,801105,83,663
2025-03-01,Bihar,Muzaffarpur,843124,27,288
2025-03-01,Bihar,Muzaffarpur,843141,18,138
2025-03-01,Bihar,Kaimur (Bhabua),821101,159,1433
2025-03-01,Bihar,Samastipur,848216,26,386
2025-03-01,Bihar,Samastipur,848134,100,1117
2025-03-01,Bihar,Jamui,811316,45,454
2025-03-01,Bihar,Nalanda,811102,11,106
2025-03-01,Bihar,Nawada,805109,48,590
2025-03-01,Bihar,Darbhanga,847201,160,1955
2025-03-01,Bihar,Rohtas,821112,141,1007
2025-03-01,Bihar,Gopalganj,841508,62,728
2025-03-01,Bihar,Saran,841209,28,525
2025-03-01,Bihar,East Champaran,845416,133,1305
2025-03-01,Bihar,Araria,854328,16,209
2025-03-01,Bihar,Jehanabad,804403,19,93
2025-03-01,Bihar,Sitamarhi,843325,108,708
2025-03-01,Bihar,Darbhanga,847104,66,601
2025-03-01,Bihar,Vaishali,844139,22,168
2025-03-01,Bihar,Muzaffarpur,843112,58,565
2025-03-01,Bihar,Kaimur (Bhabua),821110,77,907
2025-03-01,Bihar,Nawada,805125,125,1277
2025-03-01,Bihar,Arwal,824235,11,87
2025-03-01,Bihar,Muzaffarpur,843104,73,720
2025-03-01,Bihar,Begusarai,851119,13,101
2025-03-01,Bihar,Sitamarhi,843333,162,1406
2025-03-01,Bihar,Rohtas,821301,79,527
2025-03-01,Bihar,Nalanda,803107,131,1735
2025-03-01,Bihar,Saharsa,852107,71,612
2025-03-01,Bihar,Siwan,841238,62,1029
2025-03-01,Bihar,West Champaran,845455,308,2895
2025-03-01,Bihar,Jehanabad,804425,70,605
2025-03-01,Bihar,Bhojpur,802152,64,795
2025-03-01,Bihar,Bhojpur,802315,11,130
2025-03-01,Bihar,Aurangabad,824125,172,1502
2025-04-01,Bihar,Begusarai,851133,261,1650
2025-05-01,Bihar,Kishanganj,855101,381,5692
2025-03-01,Bihar,Siwan,841435,40,819
2025-03-01,Bihar,Purnia,854203,191,1782
2025-03-01,Bihar,Bhagalpur,813201,13,170
2025-03-01,Bihar,Darbhanga,847121,75,822
2025-03-01,Bihar,Nawada,805124,103,1096
2025-03-01,Bihar,Patna,800013,15,167
2025-03-01,Bihar,Madhepura,852116,72,1056
2025-03-01,Bihar,Bhojpur,802206,59,606
2025-03-01,Bihar,East Champaran,845417,91,1239
2025-03-01,Bihar,Rohtas,821312,142,783
2025-03-01,Bihar,Patna,800014,50,394
2025-09-01,Bihar,Araria,854316,2,40
2025-09-01,Bihar,Araria,854335,1,70
2025-09-01,Bihar,Araria,854336,1,14
2025-09-01,Bihar,Arwal,804426,1,16
2025-09-01,Bihar,Arwal,824235,2,1
2025-09-01,Bihar,Aurangabad,824124,4,123
2025-09-01,Bihar,Aurangabad,824129,0,16
2025-09-01,Bihar,Aurangabad,824202,8,69
2025-09-01,Bihar,Aurangabad,824205,1,2
2025-09-01,Bihar,Aurangabad,824208,2,53
2025-09-01,Bihar,Aurangabad,824216,0,6
2025-09-01,Bihar,Aurangabad,824218,0,13
2025-09-01,Bihar,Aurangabad,824301,13,93
2025-09-01,Bihar,Aurangabad(bh),824101,0,1
2025-09-01,Bihar,Banka,813101,11,127
2025-09-01,Bihar,Banka,813108,6,12
2025-09-01,Bihar,Banka,813118,4,15
2025-09-01,Bihar,Banka,813125,1,7
2025-09-01,Bihar,Banka,813128,0,4
2025-09-01,Bihar,Banka,813202,2,50
2025-09-01,Bihar,Banka,813205,7,50
2025-09-01,Bihar,Banka,813211,5,70
2025-09-01,Bihar,Begusarai,848202,11,82
2025-09-01,Bihar,Begusarai,848203,2,5
2025-09-01,Bihar,Begusarai,851116,3,22
2025-09-01,Bihar,Begusarai,851122,3,13
2025-09-01,Bihar,Begusarai,851129,18,137
2025-09-01,Bihar,Begusarai,851217,9,71
2025-09-01,Bihar,Begusarai,851218,7,23
2025-09-01,Bihar,Begusarai,851219,1,11
2025-09-01,Bihar,Bhagalpur,812002,1,16
2025-09-01,Bihar,Bhagalpur,812005,14,96
2025-09-01,Bihar,Bhagalpur,813129,1,5
2025-09-01,Bihar,Bhagalpur,813213,2,111
2025-09-01,Bihar,Bhojpur,802154,4,102
2025-09-01,Bihar,Bhojpur,802159,3,24
2025-09-01,Bihar,Bhojpur,802201,3,61
2025-09-01,Bihar,Bhojpur,802209,0,10
2025-09-01,Bihar,Bhojpur,802302,2,7
2025-09-01,Bihar,Bhojpur,802313,0,61
2025-09-01,Bihar,Buxar,802113,4,11
2025-09-01,Bihar,Buxar,802114,6,49
2025-09-01,Bihar,Buxar,802115,0,6
2025-09-01,Bihar,Buxar,802129,10,41
2025-09-01,Bihar,Darbhanga,846007,2,15
2025-09-01,Bihar,Darbhanga,847105,14,60
2025-09-01,Bihar,Darbhanga,847203,17,145
2025-09-01,Bihar,Darbhanga,847301,4,33
2025-09-01,Bihar,Darbhanga,847303,2,16
2025-09-01,Bihar,Darbhanga,847304,3,13
2025-09-01,Bihar,Darbhanga,847337,3,22
2025-09-01,Bihar,East Champaran,845411,3,51
2025-09-01,Bihar,East Champaran,845414,3,28
2025-09-01,Bihar,East Champaran,845425,1,18
2025-09-01,Bihar,East Champaran,845431,1,17
2025-09-01,Bihar,East Champaran,845458,4,35
2025-09-01,Bihar,Gaya,803116,0,5
2025-09-01,Bihar,Gaya,805109,1,14
2025-09-01,Bihar,Gaya,805129,1,10
2025-09-01,Bihar,Gaya,823001,15,153
2025-09-01,Bihar,Gaya,823003,13,127
2025-09-01,Bihar,Gaya,823004,1,18
2025-09-01,Bihar,Gaya,824116,0,6
2025-09-01,Bihar,Gaya,824118,5,54
2025-09-01,Bihar,Gaya,824201,29,200
2025-09-01,Bihar,Gaya,824208,3,10
2025-09-01,Bihar,Gaya,824217,2,53
2025-09-01,Bihar,Gaya,824237,12,61
2025-09-01,Bihar,Gopalganj,841416,0,11
2025-09-01,Bihar,Gopalganj,841425,4,22
2025-09-01,Bihar,Jamui,811305,6,54
2025-09-01,Bihar,Jamui,811314,9,87
2025-09-01,Bihar,Jehanabad,804403,0,8
2025-09-01,Bihar,Jehanabad,804434,0,15
2025-09-01,Bihar,Kaimur (Bhabua),821103,7,43
2025-09-01,Bihar,Katihar,854104,8,77
2025-09-01,Bihar,Katihar,854112,10,95
2025-09-01,Bihar,Katihar,854115,5,66
2025-09-01,Bihar,Katihar,854116,8,133
2025-09-01,Bihar,Katihar,854303,4,18
2025-09-01,Bihar,Katihar,855113,11,154
2025-09-01,Bihar,Khagaria,848203,17,140
2025-09-01,Bihar,Khagaria,851201,15,70
2025-09-01,Bihar,Khagaria,851220,0,5
2025-09-01,Bihar,Kishanganj,855108,5,268
2025-09-01,Bihar,Kishanganj,855115,2,162
2025-09-01,Bihar,Lakhisarai,811106,3,68
2025-09-01,Bihar,Lakhisarai,811302,5,213
2025-09-01,Bihar,Lakhisarai,811310,9,54
2025-09-01,Bihar,Madhepura,852131,0,10
2025-09-01,Bihar,Madhepura,852202,1,15
2025-09-01,Bihar,Madhubani,847102,2,22
2025-09-01,Bihar,Madhubani,847108,6,96
2025-09-01,Bihar,Madhubani,847211,5,28
2025-09-01,Bihar,Madhubani,847215,1,10
2025-09-01,Bihar,Madhubani,847225,7,42
2025-09-01,Bihar,Madhubani,847227,6,39
2025-09-01,Bihar,Madhubani,847236,1,26
2025-09-01,Bihar,Madhubani,847306,0,4
2025-09-01,Bihar,Madhubani,847424,0,5
2025-09-01,Bihar,Monghyr,811201,0,2
2025-09-01,Bihar,Monghyr,811214,0,2
2025-09-01,Bihar,Muzaffarpur,842004,7,49
2025-09-01,Bihar,Muzaffarpur,843101,3,63
2025-09-01,Bihar,Muzaffarpur,843102,0,22
2025-09-01,Bihar,Muzaffarpur,843104,3,19
2025-09-01,Bihar,Muzaffarpur,843107,3,37
2025-09-01,Bihar,Muzaffarpur,843111,10,126
2025-09-01,Bihar,Muzaffarpur,843113,7,85
2025-09-01,Bihar,Muzaffarpur,843118,3,51
2025-09-01,Bihar,Muzaffarpur,843123,7,31
2025-09-01,Bihar,Muzaffarpur,843130,0,1
2025-09-01,Bihar,Muzaffarpur,843141,0,9
2025-09-01,Bihar,Nalanda,801304,6,71
2025-09-01,Bihar,Nalanda,803109,3,34
2025-09-01,Bihar,Nalanda,803118,6,133
2025-09-01,Bihar,Nalanda,805105,1,13
2025-09-01,Bihar,Nalanda,811103,0,2
2025-09-01,Bihar,Nalanda,811104,4,21
2025-09-01,Bihar,Nawada,805108,1,15
2025-09-01,Bihar,Nawada,805122,8,83
2025-09-01,Bihar,Pashchim Champaran,845101,0,3
2025-09-01,Bihar,Pashchim Champaran,845105,1,0
2025-09-01,Bihar,Patna,800003,7,13
2025-09-01,Bihar,Patna,800006,2,33
2025-09-01,Bihar,Patna,800008,7,115
2025-09-01,Bihar,Patna,800011,2,24
2025-09-01,Bihar,Patna,800026,2,15
2025-09-01,Bihar,Patna,800027,1,12
2025-09-01,Bihar,Patna,801104,3,80
2025-09-01,Bihar,Patna,801109,9,84
2025-09-01,Bihar,Patna,801117,0,3
2025-09-01,Bihar,Patna,801118,0,1
2025-09-01,Bihar,Patna,801304,0,16
2025-09-01,Bihar,Patna,801502,3,36
2025-09-01,Bihar,Patna,801505,10,99
2025-09-01,Bihar,Patna,801506,0,8
2025-09-01,Bihar,Patna,803203,1,5
2025-09-01,Bihar,Patna,803211,3,63
2025-09-01,Bihar,Patna,803213,11,330
2025-09-01,Bihar,Purba Champaran,845401,0,1
2025-09-01,Bihar,Purnea,854301,0,9
2025-09-01,Bihar,Purnia,854114,0,2
2025-09-01,Bihar,Purnia,854203,5,54
2025-09-01,Bihar,Purnia,854206,1,39
2025-09-01,Bihar,Purnia,854301,4,44
2025-09-01,Bihar,Purnia,854317,0,23
2025-09-01,Bihar,Purnia,854337,2,27
2025-09-01,Bihar,Purnia,855105,0,8
2025-09-01,Bihar,Purnia,855107,2,31
2025-09-01,Bihar,Purnia,855115,0,19
2025-09-01,Bihar,Rohtas,802213,4,60
2025-09-01,Bihar,Rohtas,802216,0,4
2025-09-01,Bihar,Rohtas,802220,3,21
2025-09-01,Bihar,Rohtas,821305,5,85
2025-09-01,Bihar,Rohtas,821306,2,15
2025-09-01,Bihar,Rohtas,821312,4,56
2025-09-01,Bihar,Saharsa,852107,1,25
2025-09-01,Bihar,Samastipur,847105,2,37
2025-09-01,Bihar,Samastipur,847301,2,36
2025-09-01,Bihar,Samastipur,848101,9,118
2025-09-01,Bihar,Samastipur,848114,8,212
2025-09-01,Bihar,Samastipur,848117,9,188
2025-09-01,Bihar,Samastipur,848129,0,25
2025-09-01,Bihar,Samastipur,848130,3,53
2025-09-01,Bihar,Samastipur,848132,4,66
2025-09-01,Bihar,Samastipur,848207,4,89
2025-09-01,Bihar,Samastipur,848216,1,85
2025-09-01,Bihar,Samastipur,848220,0,7
2025-09-01,Bihar,Samastipur,848236,3,31
2025-09-01,Bihar,Samastipur,848237,0,6
2025-09-01,Bihar,Samastipur,848302,4,38
2025-09-01,Bihar,Saran,841202,2,14
2025-09-01,Bihar,Saran,841212,0,15
2025-09-01,Bihar,Saran,841221,7,44
2025-09-01,Bihar,Saran,841301,20,113
2025-09-01,Bihar,Saran,841302,1,2
2025-09-01,Bihar,Saran,841305,1,19
2025-09-01,Bihar,Saran,841316,0,11
2025-09-01,Bihar,Saran,841402,5,18
2025-09-01,Bihar,Saran,841410,3,22
2025-09-01,Bihar,Saran,841414,3,24
2025-09-01,Bihar,Saran,841417,5,67
2025-09-01,Bihar,Saran,841433,0,8
2025-09-01,Bihar,Saran,841443,2,12
2025-09-01,Bihar,Sheikhpura,811101,1,56
2025-09-01,Bihar,Sheikhpura,811107,1,41
2025-09-01,Bihar,Sheohar,843327,0,15
2025-09-01,Bihar,Sheohar,843334,12,155
2025-09-01,Bihar,Sitamarhi,843318,4,25
2025-09-01,Bihar,Sitamarhi,843324,11,111
2025-09-01,Bihar,Sitamarhi,843327,12,89
2025-09-01,Bihar,Sitamarhi,843330,3,42
2025-09-01,Bihar,Siwan,841227,3,37
2025-09-01,Bihar,Siwan,841239,7,70
2025-09-01,Bihar,Siwan,841241,7,41
2025-09-01,Bihar,Siwan,841407,0,4
2025-09-01,Bihar,Siwan,841434,6,67
2025-09-01,Bihar,Supaul,847451,5,11
2025-09-01,Bihar,Supaul,847452,6,86
2025-09-01,Bihar,Supaul,852105,1,43
2025-09-01,Bihar,Supaul,852110,1,35
2025-09-01,Bihar,Supaul,852125,2,57
2025-09-01,Bihar,Supaul,852131,12,196
2025-09-01,Bihar,Supaul,852137,5,60
2025-09-01,Bihar,Supaul,852215,4,71
2025-09-01,Bihar,Supaul,852218,3,83
2025-09-01,Bihar,Vaishali,844101,11,77
2025-09-01,Bihar,Vaishali,844102,10,106
2025-09-01,Bihar,Vaishali,844111,1,20
2025-09-01,Bihar,Vaishali,844116,0,10
2025-09-01,Bihar,Vaishali,844128,1,12
2025-09-01,Bihar,Vaishali,844131,2,5
2025-09-01,Bihar,Vaishali,844134,0,1
2025-09-01,Bihar,Vaishali,844502,7,85
2025-09-01,Bihar,Vaishali,844508,11,285
2025-09-01,Bihar,West Champaran,845105,13,102
2025-09-01,Bihar,West Champaran,845404,8,58
2025-09-01,Bihar,West Champaran,845438,44,267
2025-09-01,Bihar,West Champaran,845453,11,127
2025-09-01,Bihar,West Champaran,845455,13,149
2025-09-02,Bihar,Araria,854202,0,5
2025-09-02,Bihar,Araria,854312,10,124
2025-09-02,Bihar,Araria,854325,3,64
2025-09-02,Bihar,Araria,854332,0,50
2025-09-02,Bihar,Arwal,804429,0,5
2025-09-02,Bihar,Aurangabad,824101,10,62
2025-09-02,Bihar,Aurangabad,824113,3,26
2025-09-02,Bihar,Aurangabad,824121,2,44
2025-09-02,Bihar,Aurangabad,824127,1,3
2025-09-02,Bihar,Aurangabad,824208,2,38
2025-09-02,Bihar,Aurangabad,824302,2,17
2025-09-02,Bihar,Aurangabad(bh),824121,1,6
2025-09-02,Bihar,Aurangabad(bh),824124,0,2
2025-09-02,Bihar,Banka,813104,6,102
2025-09-02,Bihar,Banka,813105,8,47
2025-09-02,Bihar,Banka,813106,11,103
2025-09-02,Bihar,Banka,813205,3,60
2025-09-02,Bihar,Begusarai,848204,2,48
2025-09-02,Bihar,Begusarai,851111,10,138
2025-09-02,Bihar,Begusarai,851117,0,13
2025-09-02,Bihar,Begusarai,851119,1,0
2025-09-02,Bihar,Begusarai,851129,17,135
2025-09-02,Bihar,Begusarai,851132,3,22
2025-09-02,Bihar,Begusarai,851134,6,22
2025-09-02,Bihar,Begusarai,851210,1,10
2025-09-02,Bihar,Begusarai,852161,0,1
2025-09-02,Bihar,Bhagalpur,813108,5,72
2025-09-02,Bihar,Bhagalpur,813112,2,7
2025-09-02,Bihar,Bhagalpur,813201,1,10
2025-09-02,Bihar,Bhagalpur,853201,6,61
2025-09-02,Bihar,Bhagalpur,853203,6,82
2025-09-02,Bihar,Bhojpur,802154,1,66
2025-09-02,Bihar,Bhojpur,802159,1,16
2025-09-02,Bihar,Bhojpur,802160,3,27
2025-09-02,Bihar,Bhojpur,802163,3,41
2025-09-02,Bihar,Bhojpur,802183,1,25
2025-09-02,Bihar,Bhojpur,802203,5,35
2025-09-02,Bihar,Bhojpur,802315,1,10
2025-09-02,Bihar,Bhojpur,802316,4,88
2025-09-02,Bihar,Buxar,802122,1,12
2025-09-02,Bihar,Buxar,802123,12,49
2025-09-02,Bihar,Buxar,802125,1,9
2025-09-02,Bihar,Buxar,802128,6,23
2025-09-02,Bihar,Buxar,802129,6,32
2025-09-02,Bihar,Buxar,802130,1,14
2025-09-02,Bihar,Buxar,802136,0,3
2025-09-02,Bihar,Darbhanga,847101,11,83
2025-09-02,Bihar,Darbhanga,847102,0,3
2025-09-02,Bihar,Darbhanga,847104,11,59
2025-09-02,Bihar,Darbhanga,847106,5,94
2025-09-02,Bihar,Darbhanga,847239,1,26
2025-09-02,Bihar,Darbhanga,847337,3,28
2025-09-02,Bihar,Darbhanga,847427,4,52
2025-09-02,Bihar,East Champaran,845302,9,93
2025-09-02,Bihar,East Champaran,845406,2,34
2025-09-02,Bihar,East Champaran,845432,3,45
2025-09-02,Bihar,East Champaran,845436,3,36
2025-09-02,Bihar,Gaya,805109,2,25
2025-09-02,Bihar,Gaya,805129,1,12
2025-09-02,Bihar,Gaya,824205,11,67
2025-09-02,Bihar,Gaya,824209,4,38
2025-09-02,Bihar,Gaya,824210,13,73
2025-09-02,Bihar,Gaya,824235,6,59
2025-09-02,Bihar,Gopalganj,841436,5,57
2025-09-02,Bihar,Jamui,811305,4,76
2025-09-02,Bihar,Jamui,811313,1,40
2025-09-02,Bihar,Jamui,811314,6,78
2025-09-02,Bihar,Jehanabad,804408,6,112
2025-09-02,Bihar,Jehanabad,804421,0,3
2025-09-02,Bihar,Jehanabad,804424,2,12
2025-09-02,Bihar,Jehanabad,804425,6,63
2025-09-02,Bihar,Jehanabad,804427,4,53
2025-09-02,Bihar,Jehanabad,804429,1,116
2025-09-02,Bihar,Jehanabad,804433,0,15
2025-09-02,Bihar,Kaimur (Bhabua),821102,5,51
2025-09-02,Bihar,Kaimur (Bhabua),821103,5,56
2025-09-02,Bihar,Kaimur (Bhabua),821104,4,37
2025-09-02,Bihar,Kaimur (Bhabua),821108,9,77
2025-09-02,Bihar,Kaimur (Bhabua),821110,5,56
2025-09-02,Bihar,Katihar,854104,5,108
2025-09-02,Bihar,Katihar,854106,3,25
2025-09-02,Bihar,Katihar,854112,1,97
2025-09-02,Bihar,Katihar,854317,12,274
2025-09-02,Bihar,Katihar,854337,2,19
2025-09-02,Bihar,Katihar,855102,11,197
2025-09-02,Bihar,Katihar,855105,1,56
2025-09-02,Bihar,Khagaria,851204,21,176
2025-09-02,Bihar,Khagaria,851215,2,43
2025-09-02,Bihar,Khagaria,851220,0,20
2025-09-02,Bihar,Kishanganj,855101,12,482
2025-09-02,Bihar,Lakhisarai,811304,0,9
2025-09-02,Bihar,Lakhisarai,811310,5,35
2025-09-02,Bihar,Lakhisarai,811315,0,16
2025-09-02,Bihar,Madhepura,852101,1,95
2025-09-02,Bihar,Madhepura,852107,0,1
2025-09-02,Bihar,Madhepura,852113,7,59
2025-09-02,Bihar,Madhepura,852115,2,33
2025-09-02,Bihar,Madhubani,843319,0,3
2025-09-02,Bihar,Madhubani,847122,2,23
2025-09-02,Bihar,Madhubani,847225,5,69
2025-09-02,Bihar,Madhubani,847227,4,26
2025-09-02,Bihar,Madhubani,847230,2,35
2025-09-02,Bihar,Madhubani,847234,13,43
2025-09-02,Bihar,Madhubani,847235,4,85
2025-09-02,Bihar,Madhubani,847236,2,32
2025-09-02,Bihar,Madhubani,847308,5,16
2025-09-02,Bihar,Madhubani,847403,5,18
2025-09-02,Bihar,Madhubani,847404,4,49
2025-09-02,Bihar,Monghyr,813201,0,1
2025-09-02,Bihar,Muzaffarpur,842002,9,85
2025-09-02,Bihar,Muzaffarpur,843104,2,44
2025-09-02,Bihar,Muzaffarpur,843106,3,33
2025-09-02,Bihar,Muzaffarpur,843108,5,25
2025-09-02,Bihar,Muzaffarpur,843113,6,104
2025-09-02,Bihar,Muzaffarpur,843118,4,53
2025-09-02,Bihar,Muzaffarpur,843119,12,105
2025-09-02,Bihar,Muzaffarpur,843127,4,34
2025-09-02,Bihar,Muzaffarpur,843129,1,57
2025-09-02,Bihar,Muzaffarpur,843141,0,4
2025-09-02,Bihar,Muzaffarpur,843143,1,8
2025-09-02,Bihar,Muzaffarpur,843165,2,5
2025-09-02,Bihar,Muzaffarpur,843328,0,6
2025-09-02,Bihar,Muzaffarpur,844111,0,7
2025-09-02,Bihar,Muzaffarpur,844127,3,42
2025-09-02,Bihar,Nalanda,803202,0,71
2025-09-02,Bihar,Nalanda,805105,1,76
2025-09-02,Bihar,Nawada,803109,0,1
2025-09-02,Bihar,Nawada,805101,1,13
2025-09-02,Bihar,Nawada,805104,4,76
2025-09-02,Bihar,Nawada,805107,1,46
2025-09-02,Bihar,Nawada,805111,1,28
2025-09-02,Bihar,Nawada,805123,6,61
2025-09-02,Bihar,Nawada,805124,10,79
2025-09-02,Bihar,Nawada,805128,0,4
2025-09-02,Bihar,Nawada,805129,1,18
2025-09-02,Bihar,Nawada,805133,0,2
2025-09-02,Bihar,Pashchim Champaran,845451,0,2
2025-09-02,Bihar,Pashchim Champaran,845455,0,7
2025-09-02,Bihar,Patna,800001,6,77
2025-09-02,Bihar,Patna,800003,0,15
2025-09-02,Bihar,Patna,800007,4,75
2025-09-02,Bihar,Patna,800011,2,28
2025-09-02,Bihar,Patna,800014,2,22
2025-09-02,Bihar,Patna,800016,0,15
2025-09-02,Bihar,Patna,800018,1,11
2025-09-02,Bihar,Patna,800020,5,40
