state,district,date,demo_age_5_17,demo_age_17_plus
Bihar,Arwal,2025-12-26,16,204
Bihar,Arwal,2025-12-27,11,99
Bihar,Arwal,2025-12-28,15,67
Bihar,Arwal,2025-12-29,13,135
Bihar,Arwal,2025-12-31,13,176
Bihar,Arwal,2026-01-01,9,105
Bihar,Arwal,2026-01-02,10,42
Bihar,Arwal,2026-01-03,3,49
Bihar,Aurangabad,2025-03-01,1598,13563
Bihar,Aurangabad,2025-09-01,94,875
Bihar,Aurangabad,2025-09-02,144,1058
Bihar,Aurangabad,2025-09-03,56,568
Bihar,Aurangabad,2025-09-04,71,551
Bihar,Aurangabad,2025-09-05,53,748
Bihar,Aurangabad,2025-09-06,95,1093
Bihar,Aurangabad,2025-09-07,23,402
Bihar,Aurangabad,2025-09-08,107,1457
Bihar,Aurangabad,2025-09-09,114,1523
Bihar,Aurangabad,2025-09-10,106,1462
Bihar,Aurangabad,2025-09-11,123,1398
Bihar,Aurangabad,2025-09-12,125,1564
Bihar,Aurangabad,2025-09-13,40,793
Bihar,Aurangabad,2025-09-14,25,387
Bihar,Aurangabad,2025-09-15,115,1330
Bihar,Aurangabad,2025-09-16,87,1341
Bihar,Aurangabad,2025-09-17,55,756
Bihar,Aurangabad,2025-09-18,96,1437
Bihar,Aurangabad,2025-09-19,90,1750
Bihar,Aurangabad,2025-09-20,103,1676
Bihar,Aurangabad,2025-10-13,56,587
Bihar,Aurangabad,2025-10-15,261,1624
Bihar,Aurangabad,2025-10-16,210,1553
Bihar,Aurangabad,2025-10-17,154,1247
Bihar,Aurangabad,2025-10-18,126,881
Bihar,Aurangabad,2025-10-19,137,969
Bihar,Aurangabad,2025-10-20,45,196
Bihar,Aurangabad,2025-10-21,46,231
Bihar,Aurangabad,2025-10-22,5,35
Bihar,Aurangabad,2025-10-23,16,101
Bihar,Aurangabad,2025-10-24,124,988
Bihar,Aurangabad,2025-10-25,109,826
Bihar,Aurangabad,2025-10-26,99,808
Bihar,Aurangabad,2025-10-27,55,396
Bihar,Aurangabad,2025-10-28,42,229
Bihar,Aurangabad,2025-10-29,98,357
Bihar,Aurangabad,2025-10-30,65,550
Bihar,Aurangabad,2025-10-31,154,1139
Bihar,Aurangabad,2025-11-01,114,975
Bihar,Aurangabad,2025-11-02,51,386
Bihar,Aurangabad,2025-11-03,185,1208
Bihar,Aurangabad,2025-11-04,133,1330
Bihar,Aurangabad,2025-11-05,96,894
Bihar,Aurangabad,2025-11-06,91,820
Bihar,Aurangabad,2025-11-07,54,720
Bihar,Aurangabad,2025-11-08,39,564
Bihar,Aurangabad,2025-11-09,8,245
Bihar,Aurangabad,2025-11-10,36,546
Bihar,Aurangabad,2025-11-11,16,184
Bihar,Aurangabad,2025-11-12,50,608
Bihar,Aurangabad,2025-11-13,116,768
Bihar,Aurangabad,2025-11-14,95,603
Bihar,Aurangabad,2025-11-15,60,609
Bihar,Aurangabad,2025-11-16,31,345
Bihar,Aurangabad,2025-11-17,65,723
Bihar,Aurangabad,2025-11-18,64,720
Bihar,Aurangabad,2025-11-19,67,719
Bihar,Aurangabad,2025-11-25,12,113
Bihar,Aurangabad,2025-11-26,23,331
Bihar,Aurangabad,2025-11-27,57,802
Bihar,Aurangabad,2025-11-28,84,741
Bihar,Aurangabad,2025-11-29,49,392
Bihar,Aurangabad,2025-12-01,124,891
Bihar,Aurangabad,2025-12-02,107,916
Bihar,Aurangabad,2025-12-03,81,807
Bihar,Aurangabad,2025-12-04,62,717
Bihar,Aurangabad,2025-12-05,60,686
Bihar,Aurangabad,2025-12-06,59,722
Bihar,Aurangabad,2025-12-07,21,224
Bihar,Aurangabad,2025-12-08,64,747
Bihar,Aurangabad,2025-12-09,81,792
Bihar,Aurangabad,2025-12-10,104,1043
Bihar,Aurangabad,2025-12-11,81,829
Bihar,Aurangabad,2025-12-12,91,761
Bihar,Aurangabad,2025-12-13,33,448
Bihar,Aurangabad,2025-12-14,18,191
Bihar,Aurangabad,2025-12-15,81,753
Bihar,Aurangabad,2025-12-16,76,828
Bihar,Aurangabad,2025-12-17,56,707
Bihar,Aurangabad,2025-12-18,41,511
Bihar,Aurangabad,2025-12-19,33,394
Bihar,Aurangabad,2025-12-20,34,346
Bihar,Aurangabad,2025-12-21,12,182
Bihar,Aurangabad,2025-12-22,35,469
Bihar,Aurangabad,2025-12-23,54,504
Bihar,Aurangabad,2025-12-24,54,573
Bihar,Aurangabad,2025-12-25,19,257
Bihar,Aurangabad,2025-12-26,51,563
Bihar,Aurangabad,2025-12-27,28,427
Bihar,Aurangabad,2025-12-28,35,293
Bihar,Aurangabad,2025-12-29,37,371
Bihar,Aurangabad,2025-12-31,45,543
Bihar,Aurangabad,2026-01-01,44,310
Bihar,Aurangabad,2026-01-02,78,444
Bihar,Aurangabad,2026-01-03,17,154
Bihar,Aurangabad(BH),2025-09-03,0,1
Bihar,Aurangabad(BH),2025-09-10,0,1
Bihar,Aurangabad(BH),2025-09-15,0,1
Bihar,Aurangabad(BH),2025-09-16,0,1
Bihar,Aurangabad(BH),2025-09-17,0,1
Bihar,Aurangabad(BH),2025-09-18,0,1
Bihar,Aurangabad(BH),2025-09-19,0,1
Bihar,Aurangabad(BH),2025-10-26,0,1
Bihar,Aurangabad(BH),2025-11-17,0,1
Bihar,Aurangabad(BH),2025-11-19,0,1
Bihar,Aurangabad(BH),2025-11-26,0,1
Bihar,Aurangabad(BH),2025-11-27,0,1
Bihar,Aurangabad(BH),2025-12-03,1,1
Bihar,Aurangabad(BH),2025-12-05,0,1
Bihar,Aurangabad(BH),2025-12-08,2,1
Bihar,Aurangabad(BH),2025-12-09,0,2
Bihar,Aurangabad(BH),2025-12-14,0,2
Bihar,Aurangabad(BH),2025-12-20,0,1
Bihar,Aurangabad(BH),2025-12-21,0,1
Bihar,Aurangabad(BH),2025-12-24,0,1
Bihar,Aurangabad(bh),2025-09-01,0,5
Bihar,Aurangabad(bh),2025-09-02,1,16
Bihar,Aurangabad(bh),2025-09-04,0,3
Bihar,Aurangabad(bh),2025-09-05,0,7
Bihar,Aurangabad(bh),2025-09-06,0,6
Bihar,Aurangabad(bh),2025-09-07,0,6
Bihar,Aurangabad(bh),2025-09-08,0,9
Bihar,Aurangabad(bh),2025-09-09,0,9
Bihar,Aurangabad(bh),2025-09-10,0,22
Bihar,Aurangabad(bh),2025-09-11,0,6
Bihar,Aurangabad(bh),2025-09-12,0,13
Bihar,Aurangabad(bh),2025-09-13,0,12
Bihar,Aurangabad(bh),2025-09-14,0,10
Bihar,Aurangabad(bh),2025-09-15,0,12
Bihar,Aurangabad(bh),2025-09-16,0,8
Bihar,Aurangabad(bh),2025-09-17,0,3
Bihar,Aurangabad(bh),2025-09-18,0,20
Bihar,Aurangabad(bh),2025-09-19,0,6
Bihar,Aurangabad(bh),2025-09-20,2,14
Bihar,Aurangabad(bh),2025-10-13,0,11
Bihar,Aurangabad(bh),2025-10-15,0,9
Bihar,Aurangabad(bh),2025-10-16,1,11
Bihar,Aurangabad(bh),2025-10-17,0,8
Bihar,Aurangabad(bh),2025-10-18,0,18
Bihar,Aurangabad(bh),2025-10-19,0,6
Bihar,Aurangabad(bh),2025-10-20,0,2
Bihar,Aurangabad(bh),2025-10-24,2,8
Bihar,Aurangabad(bh),2025-10-25,0,6
Bihar,Aurangabad(bh),2025-10-26,0,5
Bihar,Aurangabad(bh),2025-10-27,0,2
Bihar,Aurangabad(bh),2025-10-28,0,1
Bihar,Aurangabad(bh),2025-10-29,0,6
Bihar,Aurangabad(bh),2025-10-30,0,6
Bihar,Aurangabad(bh),2025-10-31,0,16
Bihar,Aurangabad(bh),2025-11-01,1,17
Bihar,Aurangabad(bh),2025-11-02,0,6
Bihar,Aurangabad(bh),2025-11-03,1,13
Bihar,Aurangabad(bh),2025-11-04,1,13
Bihar,Aurangabad(bh),2025-11-05,0,6
Bihar,Aurangabad(bh),2025-11-06,0,12
Bihar,Aurangabad(bh),2025-11-07,0,5
Bihar,Aurangabad(bh),2025-11-08,0,6
Bihar,Aurangabad(bh),2025-11-09,0,3
Bihar,Aurangabad(bh),2025-11-10,0,7
Bihar,Aurangabad(bh),2025-11-11,0,6
Bihar,Aurangabad(bh),2025-11-12,0,5
Bihar,Aurangabad(bh),2025-11-13,0,8
Bihar,Aurangabad(bh),2025-11-14,0,7
Bihar,Aurangabad(bh),2025-11-15,0,6
Bihar,Aurangabad(bh),2025-11-17,0,5
Bihar,Aurangabad(bh),2025-11-18,0,7
Bihar,Aurangabad(bh),2025-11-19,0,5
Bihar,Aurangabad(bh),2025-11-25,0,1
Bihar,Aurangabad(bh),2025-11-26,0,5
Bihar,Aurangabad(bh),2025-11-27,1,11
Bihar,Aurangabad(bh),2025-11-28,0,5
Bihar,Aurangabad(bh),2025-11-29,1,6
Bihar,Aurangabad(bh),2025-12-01,0,2
Bihar,Aurangabad(bh),2025-12-02,1,10
Bihar,Aurangabad(bh),2025-12-03,0,9
Bihar,Aurangabad(bh),2025-12-04,1,5
Bihar,Aurangabad(bh),2025-12-05,1,12
Bihar,Aurangabad(bh),2025-12-06,0,9
Bihar,Aurangabad(bh),2025-12-07,2,5
Bihar,Aurangabad(bh),2025-12-08,0,5
Bihar,Aurangabad(bh),2025-12-09,0,8
Bihar,Aurangabad(bh),2025-12-10,0,18
Bihar,Aurangabad(bh),2025-12-11,1,6
Bihar,Aurangabad(bh),2025-12-12,0,9
Bihar,Aurangabad(bh),2025-12-13,0,5
Bihar,Aurangabad(bh),2025-12-14,1,2
Bihar,Aurangabad(bh),2025-12-15,0,6
Bihar,Aurangabad(bh),2025-12-16,0,6
Bihar,Aurangabad(bh),2025-12-17,0,9
Bihar,Aurangabad(bh),2025-12-18,0,8
Bihar,Aurangabad(bh),2025-12-19,0,3
Bihar,Aurangabad(bh),2025-12-20,0,3
Bihar,Aurangabad(bh),2025-12-21,0,2
Bihar,Aurangabad(bh),2025-12-22,0,6
Bihar,Aurangabad(bh),2025-12-23,1,3
Bihar,Aurangabad(bh),2025-12-24,0,5
Bihar,Aurangabad(bh),2025-12-25,0,6
Bihar,Aurangabad(bh),2025-12-26,0,6
Bihar,Aurangabad(bh),2025-12-27,0,2
Bihar,Aurangabad(bh),2025-12-29,0,7
Bihar,Aurangabad(bh),2025-12-31,1,9
Bihar,Aurangabad(bh),2026-01-01,1,5
Bihar,Aurangabad(bh),2026-01-02,0,3
Bihar,Aurangabad(bh),2026-01-03,0,3
Bihar,Banka,2025-03-01,618,6924
Bihar,Banka,2025-09-01,57,528
Bihar,Banka,2025-09-02,87,973
Bihar,Banka,2025-09-03,16,220
Bihar,Banka,2025-09-04,65,629
Bihar,Banka,2025-09-05,34,691
Bihar,Banka,2025-09-06,60,1039
Bihar,Banka,2025-09-07,17,444
Bihar,Banka,2025-09-08,53,1455
Bihar,Banka,2025-09-09,91,1498
Bihar,Banka,2025-09-10,83,1501
Bihar,Banka,2025-09-11,76,1211
Bihar,Banka,2025-09-12,69,1307
Bihar,Banka,2025-09-13,36,697
Bihar,Banka,2025-09-14,12,337
Bihar,Banka,2025-09-15,66,1096
Bihar,Banka,2025-09-16,40,1094
Bihar,Banka,2025-09-17,31,633
Bihar,Banka,2025-09-18,64,1208
Bihar,Banka,2025-09-19,78,1503
Bihar,Banka,2025-09-20,81,1435
Bihar,Banka,2025-10-13,42,1082
Bihar,Banka,2025-10-15,155,1733
Bihar,Banka,2025-10-16,100,1317
Bihar,Banka,2025-10-17,68,1272
Bihar,Banka,2025-10-18,75,1000
Bihar,Banka,2025-10-19,81,843
Bihar,Banka,2025-10-20,22,221
Bihar,Banka,2025-10-21,31,198
Bihar,Banka,2025-10-22,3,37
Bihar,Banka,2025-10-23,13,66
Bihar,Banka,2025-10-24,91,1154
Bihar,Banka,2025-10-25,77,933
Bihar,Banka,2025-10-26,49,923
Bihar,Banka,2025-10-27,37,381
Bihar,Banka,2025-10-28,32,225
Bihar,Banka,2025-10-29,47,467
Bihar,Banka,2025-10-30,59,610
Bihar,Banka,2025-10-31,106,1393
Bihar,Banka,2025-11-01,74,1035
Bihar,Banka,2025-11-02,40,451
Bihar,Banka,2025-11-03,144,1532
Bihar,Banka,2025-11-04,81,1701
Bihar,Banka,2025-11-05,79,894
Bihar,Banka,2025-11-06,87,989
Bihar,Banka,2025-11-07,48,793
Bihar,Banka,2025-11-08,44,620
Bihar,Banka,2025-11-09,17,323
Bihar,Banka,2025-11-10,30,516
Bihar,Banka,2025-11-11,12,150
Bihar,Banka,2025-11-12,34,539
Bihar,Banka,2025-11-13,91,826
Bihar,Banka,2025-11-14,40,409
Bihar,Banka,2025-11-15,46,553
Bihar,Banka,2025-11-16,32,222
Bihar,Banka,2025-11-17,51,523
Bihar,Banka,2025-11-18,51,486
Bihar,Banka,2025-11-19,41,532
Bihar,Banka,2025-11-25,11,54
Bihar,Banka,2025-11-26,13,188
Bihar,Banka,2025-11-27,38,630
Bihar,Banka,2025-11-28,54,444
Bihar,Banka,2025-11-29,27,339
Bihar,Banka,2025-12-01,64,591
Bihar,Banka,2025-12-02,31,591
Bihar,Banka,2025-12-03,29,591
Bihar,Banka,2025-12-04,43,638
Bihar,Banka,2025-12-05,25,566
Bihar,Banka,2025-12-06,52,654
Bihar,Banka,2025-12-07,19,246
Bihar,Banka,2025-12-08,53,850
Bihar,Banka,2025-12-09,47,805
Bihar,Banka,2025-12-10,41,770
Bihar,Banka,2025-12-11,39,736
Bihar,Banka,2025-12-12,47,815
Bihar,Banka,2025-12-13,47,704
Bihar,Banka,2025-12-14,13,136
Bihar,Banka,2025-12-15,39,486
Bihar,Banka,2025-12-16,55,954
Bihar,Banka,2025-12-17,48,850
Bihar,Banka,2025-12-18,49,744
Bihar,Banka,2025-12-19,39,471
Bihar,Banka,2025-12-20,18,204
Bihar,Banka,2025-12-21,14,101
Bihar,Banka,2025-12-22,41,471
Bihar,Banka,2025-12-23,39,568
Bihar,Banka,2025-12-24,44,564
Bihar,Banka,2025-12-25,29,396
Bihar,Banka,2025-12-26,54,723
Bihar,Banka,2025-12-27,31,501
Bihar,Banka,2025-12-28,38,211
Bihar,Banka,2025-12-29,47,398
Bihar,Banka,2025-12-31,22,507
Bihar,Banka,2026-01-01,18,190
Bihar,Banka,2026-01-02,26,269
Bihar,Banka,2026-01-03,11,151
Bihar,Begusarai,2025-03-01,3159,24469
Bihar,Begusarai,2025-04-01,261,1650
Bihar,Begusarai,2025-09-01,127,878
Bihar,Begusarai,2025-09-02,182,1491
Bihar,Begusarai,2025-09-03,58,657
Bihar,Begusarai,2025-09-04,114,1253
Bihar,Begusarai,2025-09-05,68,886
Bihar,Begusarai,2025-09-06,137,1390
Bihar,Begusarai,2025-09-07,38,491
Bihar,Begusarai,2025-09-08,119,1687
Bihar,Begusarai,2025-09-09,158,1652
Bihar,Begusarai,2025-09-10,125,1768
Bihar,Begusarai,2025-09-11,121,1597
Bihar,Begusarai,2025-09-12,136,1778
Bihar,Begusarai,2025-09-13,105,1171
Bihar,Begusarai,2025-09-14,20,382
Bihar,Begusarai,2025-09-15,132,1464
Bihar,Begusarai,2025-09-16,113,1320
Bihar,Begusarai,2025-09-17,71,914
Bihar,Begusarai,2025-09-18,161,1824
Bihar,Begusarai,2025-09-19,108,1637
Bihar,Begusarai,2025-09-20,121,1935
Bihar,Begusarai,2025-10-13,70,1036
Bihar,Begusarai,2025-10-15,175,1733
Bihar,Begusarai,2025-10-16,202,1764
Bihar,Begusarai,2025-10-17,110,1238
Bihar,Begusarai,2025-10-18,127,1195
Bihar,Begusarai,2025-10-19,110,873
Bihar,Begusarai,2025-10-20,31,180
Bihar,Begusarai,2025-10-21,41,218
Bihar,Begusarai,2025-10-22,8,22
Bihar,Begusarai,2025-10-23,9,103
Bihar,Begusarai,2025-10-24,132,1418
Bihar,Begusarai,2025-10-25,69,802
Bihar,Begusarai,2025-10-26,97,1101
Bihar,Begusarai,2025-10-27,51,401
Bihar,Begusarai,2025-10-28,43,234
Bihar,Begusarai,2025-10-29,85,373
Bihar,Begusarai,2025-10-30,53,612
Bihar,Begusarai,2025-10-31,114,1184
Bihar,Begusarai,2025-11-01,97,920
Bihar,Begusarai,2025-11-02,55,413
Bihar,Begusarai,2025-11-03,150,1230
Bihar,Begusarai,2025-11-04,92,1178
Bihar,Begusarai,2025-11-05,99,790
Bihar,Begusarai,2025-11-06,119,554
Bihar,Begusarai,2025-11-07,52,1024
Bihar,Begusarai,2025-11-08,73,933
Bihar,Begusarai,2025-11-09,15,302
Bihar,Begusarai,2025-11-10,76,964
Bihar,Begusarai,2025-11-11,87,1094
Bihar,Begusarai,2025-11-12,72,872
Bihar,Begusarai,2025-11-13,153,1262
Bihar,Begusarai,2025-11-14,105,714
Bihar,Begusarai,2025-11-15,99,1076
Bihar,Begusarai,2025-11-16,58,363
Bihar,Begusarai,2025-11-17,101,903
Bihar,Begusarai,2025-11-18,82,750
Bihar,Begusarai,2025-11-19,92,919
Bihar,Begusarai,2025-11-25,10,69
Bihar,Begusarai,2025-11-26,30,494
Bihar,Begusarai,2025-11-27,64,959
Bihar,Begusarai,2025-11-28,96,747
Bihar,Begusarai,2025-11-29,90,847
Bihar,Begusarai,2025-12-01,161,1136
Bihar,Begusarai,2025-12-02,74,938
Bihar,Begusarai,2025-12-03,89,933
Bihar,Begusarai,2025-12-04,82,980
Bihar,Begusarai,2025-12-05,59,858
Bihar,Begusarai,2025-12-06,105,978
Bihar,Begusarai,2025-12-07,17,318
Bihar,Begusarai,2025-12-08,123,1172
Bihar,Begusarai,2025-12-09,86,1116
Bihar,Begusarai,2025-12-10,96,1168
Bihar,Begusarai,2025-12-11,82,1058
Bihar,Begusarai,2025-12-12,99,1142
Bihar,Begusarai,2025-12-13,45,522
Bihar,Begusarai,2025-12-14,10,243
Bihar,Begusarai,2025-12-15,96,1217
Bihar,Begusarai,2025-12-16,93,1195
Bihar,Begusarai,2025-12-17,86,1127
Bihar,Begusarai,2025-12-18,78,900
Bihar,Begusarai,2025-12-19,51,563
Bihar,Begusarai,2025-12-20,72,530
Bihar,Begusarai,2025-12-21,12,168
Bihar,Begusarai,2025-12-22,93,780
Bihar,Begusarai,2025-12-23,70,623
Bihar,Begusarai,2025-12-24,78,729
Bihar,Begusarai,2025-12-25,28,323
Bihar,Begusarai,2025-12-26,66,756
Bihar,Begusarai,2025-12-27,29,556
Bihar,Begusarai,2025-12-28,64,297
Bihar,Begusarai,2025-12-29,58,514
Bihar,Begusarai,2025-12-31,51,758
Bihar,Begusarai,2026-01-01,40,367
Bihar,Begusarai,2026-01-02,56,323
Bihar,Begusarai,2026-01-03,8,209
Bihar,Bhabua,2025-09-04,0,1
Bihar,Bhabua,2025-09-06,0,1
Bihar,Bhabua,2025-09-08,0,4
Bihar,Bhabua,2025-09-09,0,4
Bihar,Bhabua,2025-09-10,0,4
Bihar,Bhabua,2025-09-11,0,2
Bihar,Bhabua,2025-09-12,0,2
Bihar,Bhabua,2025-09-13,0,1
Bihar,Bhabua,2025-09-15,0,2
Bihar,Bhabua,2025-09-16,0,1
Bihar,Bhabua,2025-09-17,0,1
Bihar,Bhabua,2025-09-18,0,1
Bihar,Bhabua,2025-09-19,0,3
Bihar,Bhabua,2025-10-13,0,4
Bihar,Bhabua,2025-10-15,0,1
Bihar,Bhabua,2025-10-16,0,3
Bihar,Bhabua,2025-10-17,0,2
Bihar,Bhabua,2025-10-18,0,1
Bihar,Bhabua,2025-10-19,0,1
Bihar,Bhabua,2025-10-24,0,2
Bihar,Bhabua,2025-10-30,0,5
Bihar,Bhabua,2025-10-31,0,1
Bihar,Bhabua,2025-11-01,0,4
Bihar,Bhabua,2025-11-03,0,2
Bihar,Bhabua,2025-11-05,0,4
Bihar,Bhabua,2025-11-07,0,2
Bihar,Bhabua,2025-11-10,0,2
Bihar,Bhabua,2025-11-11,0,1
Bihar,Bhabua,2025-11-12,0,3
Bihar,Bhabua,2025-11-13,0,1
Bihar,Bhabua,2025-11-14,1,1
Bihar,Bhabua,2025-11-15,0,6
Bihar,Bhabua,2025-11-18,0,2
Bihar,Bhabua,2025-11-19,0,4
Bihar,Bhabua,2025-11-26,0,2
