state,district,date,age_0_5,age_5_17,age_18_greater
Bihar,Araria,2025-11-11,49,44,0
Bihar,Araria,2025-11-12,30,30,1
Bihar,Araria,2025-11-13,11,26,1
Bihar,Araria,2025-11-14,19,17,1
Bihar,Araria,2025-11-15,184,100,0
Bihar,Araria,2025-11-16,31,30,0
Bihar,Araria,2025-11-17,32,19,1
Bihar,Araria,2025-11-18,102,42,1
Bihar,Araria,2025-11-19,179,65,0
Bihar,Araria,2025-11-25,63,33,1
Bihar,Araria,2025-12-15,367,228,1
Bihar,Araria,2025-12-21,116,1,0
Bihar,Araria,2025-12-22,408,11,0
Bihar,Araria,2025-12-23,124,2,0
Bihar,Araria,2025-12-24,80,42,3
Bihar,Araria,2025-12-25,53,100,0
Bihar,Araria,2025-12-26,89,57,0
Bihar,Araria,2025-12-27,105,62,0
Bihar,Araria,2025-12-28,135,69,0
Bihar,Araria,2025-12-29,108,57,0
Bihar,Araria,2025-12-31,192,275,19
Bihar,Araria,2026-01-01,292,208,3
Bihar,Araria,2026-01-02,179,105,4
Bihar,Araria,2026-01-03,14,29,2
Bihar,Arwal,2025-05-01,43,156,10
Bihar,Arwal,2025-06-09,9,70,1
Bihar,Arwal,2025-06-10,2,62,0
Bihar,Arwal,2025-06-11,10,13,0
Bihar,Arwal,2025-06-12,3,38,2
Bihar,Arwal,2025-06-13,8,33,0
Bihar,Arwal,2025-06-14,4,18,1
Bihar,Arwal,2025-06-15,0,5,0
Bihar,Arwal,2025-06-16,12,50,0
Bihar,Arwal,2025-06-17,9,37,1
Bihar,Arwal,2025-06-18,3,28,0
Bihar,Arwal,2025-06-19,6,62,0
Bihar,Arwal,2025-07-01,60,432,13
Bihar,Arwal,2025-09-01,4,60,0
Bihar,Arwal,2025-09-02,6,45,0
Bihar,Arwal,2025-09-03,4,35,0
Bihar,Arwal,2025-09-04,11,47,0
Bihar,Arwal,2025-09-05,4,16,0
Bihar,Arwal,2025-09-06,8,45,0
Bihar,Arwal,2025-09-07,1,2,0
Bihar,Arwal,2025-09-08,13,52,0
Bihar,Arwal,2025-09-09,16,72,0
Bihar,Arwal,2025-09-10,15,49,0
Bihar,Arwal,2025-09-11,14,39,0
Bihar,Arwal,2025-09-12,17,51,0
Bihar,Arwal,2025-09-13,5,15,0
Bihar,Arwal,2025-09-14,1,1,0
Bihar,Arwal,2025-09-15,10,26,0
Bihar,Arwal,2025-09-16,13,17,0
Bihar,Arwal,2025-09-17,3,13,0
Bihar,Arwal,2025-09-18,2,24,0
Bihar,Arwal,2025-09-19,9,39,0
Bihar,Arwal,2025-09-20,10,26,0
Bihar,Arwal,2025-09-21,2,7,0
Bihar,Arwal,2025-09-22,13,46,0
Bihar,Arwal,2025-09-23,3,46,0
Bihar,Arwal,2025-09-24,9,27,0
Bihar,Arwal,2025-09-25,9,34,0
Bihar,Arwal,2025-09-26,7,18,0
Bihar,Arwal,2025-09-27,5,9,0
Bihar,Arwal,2025-09-28,1,1,0
Bihar,Arwal,2025-09-29,0,4,0
Bihar,Arwal,2025-10-13,21,72,1
Bihar,Arwal,2025-10-15,15,44,3
Bihar,Arwal,2025-10-16,7,37,1
Bihar,Arwal,2025-10-17,38,90,0
Bihar,Arwal,2025-10-18,12,45,0
Bihar,Arwal,2025-10-19,14,42,1
Bihar,Arwal,2025-10-20,5,13,0
Bihar,Arwal,2025-10-21,1,4,0
Bihar,Arwal,2025-10-23,0,0,1
Bihar,Arwal,2025-10-24,7,27,0
Bihar,Arwal,2025-10-25,12,42,0
Bihar,Arwal,2025-10-26,5,32,0
Bihar,Arwal,2025-10-27,3,20,0
Bihar,Arwal,2025-10-28,12,27,0
Bihar,Arwal,2025-10-29,4,6,1
Bihar,Arwal,2025-10-30,10,24,0
Bihar,Arwal,2025-10-31,11,36,0
Bihar,Arwal,2025-11-01,2,9,0
Bihar,Arwal,2025-11-02,12,64,0
Bihar,Arwal,2025-11-03,4,17,0
Bihar,Arwal,2025-11-04,1,0,0
Bihar,Arwal,2025-11-05,17,84,0
Bihar,Arwal,2025-11-06,8,33,0
Bihar,Arwal,2025-11-07,11,25,0
Bihar,Arwal,2025-11-08,21,48,0
Bihar,Arwal,2025-11-09,10,33,0
Bihar,Arwal,2025-11-10,16,40,0
Bihar,Arwal,2025-11-11,3,27,0
Bihar,Arwal,2025-11-12,3,13,0
Bihar,Arwal,2025-11-13,2,6,0
Bihar,Arwal,2025-11-14,0,13,0
Bihar,Arwal,2025-11-15,18,38,0
Bihar,Arwal,2025-11-16,6,19,0
Bihar,Arwal,2025-11-17,2,7,0
Bihar,Arwal,2025-11-18,14,29,0
Bihar,Arwal,2025-11-19,12,55,0
Bihar,Arwal,2025-11-25,15,30,0
Bihar,Arwal,2025-12-15,35,89,0
Bihar,Arwal,2025-12-21,11,0,0
Bihar,Arwal,2025-12-22,35,1,0
Bihar,Arwal,2025-12-23,11,0,0
Bihar,Arwal,2025-12-24,7,37,0
Bihar,Arwal,2025-12-25,4,65,1
Bihar,Arwal,2025-12-26,11,37,0
Bihar,Arwal,2025-12-27,7,35,0
Bihar,Arwal,2025-12-28,4,40,0
Bihar,Arwal,2025-12-29,4,28,0
Bihar,Arwal,2025-12-31,17,151,1
Bihar,Arwal,2026-01-01,13,87,1
Bihar,Arwal,2026-01-02,17,58,0
Bihar,Arwal,2026-01-03,1,31,0
Bihar,Aurangabad,2025-06-09,40,214,1
Bihar,Aurangabad,2025-06-10,37,214,1
Bihar,Aurangabad,2025-06-11,37,103,1
Bihar,Aurangabad,2025-06-12,35,146,2
Bihar,Aurangabad,2025-06-13,32,121,3
Bihar,Aurangabad,2025-06-14,28,90,1
Bihar,Aurangabad,2025-06-15,5,8,0
Bihar,Aurangabad,2025-06-16,35,143,3
Bihar,Aurangabad,2025-06-17,51,263,1
Bihar,Aurangabad,2025-06-18,30,172,0
Bihar,Aurangabad,2025-06-19,27,159,5
Bihar,Aurangabad,2025-09-01,45,177,0
Bihar,Aurangabad,2025-09-02,53,170,1
Bihar,Aurangabad,2025-09-03,42,118,1
Bihar,Aurangabad,2025-09-04,21,102,0
Bihar,Aurangabad,2025-09-05,21,50,0
Bihar,Aurangabad,2025-09-06,44,103,1
Bihar,Aurangabad,2025-09-07,8,8,0
Bihar,Aurangabad,2025-09-08,54,99,0
Bihar,Aurangabad,2025-09-09,39,112,0
Bihar,Aurangabad,2025-09-10,43,101,1
Bihar,Aurangabad,2025-09-11,53,118,0
Bihar,Aurangabad,2025-09-12,43,85,0
Bihar,Aurangabad,2025-09-13,19,49,1
Bihar,Aurangabad,2025-09-14,5,5,0
Bihar,Aurangabad,2025-09-15,31,71,0
Bihar,Aurangabad,2025-09-16,42,83,1
Bihar,Aurangabad,2025-09-17,20,33,0
Bihar,Aurangabad,2025-09-18,45,98,0
Bihar,Aurangabad,2025-09-19,34,98,0
Bihar,Aurangabad,2025-09-20,29,86,0
Bihar,Aurangabad,2025-09-21,1,3,0
Bihar,Aurangabad,2025-09-22,21,81,0
Bihar,Aurangabad,2025-09-23,41,108,0
Bihar,Aurangabad,2025-09-24,51,98,1
Bihar,Aurangabad,2025-09-25,38,93,1
Bihar,Aurangabad,2025-09-26,20,52,0
Bihar,Aurangabad,2025-09-27,16,16,0
Bihar,Aurangabad,2025-09-28,1,0,0
Bihar,Aurangabad,2025-09-29,5,11,0
Bihar,Aurangabad,2025-09-30,0,4,0
Bihar,Aurangabad,2025-10-13,85,217,4
Bihar,Aurangabad,2025-10-15,44,141,1
Bihar,Aurangabad,2025-10-16,21,80,8
Bihar,Aurangabad,2025-10-17,111,266,1
Bihar,Aurangabad,2025-10-18,37,113,4
Bihar,Aurangabad,2025-10-19,75,112,1
Bihar,Aurangabad,2025-10-20,17,31,0
Bihar,Aurangabad,2025-10-21,5,14,0
Bihar,Aurangabad,2025-10-23,0,0,2
Bihar,Aurangabad,2025-10-24,47,87,0
Bihar,Aurangabad,2025-10-25,58,151,1
Bihar,Aurangabad,2025-10-26,20,64,0
Bihar,Aurangabad,2025-10-27,20,46,0
Bihar,Aurangabad,2025-10-28,19,54,0
Bihar,Aurangabad,2025-10-29,19,27,0
Bihar,Aurangabad,2025-10-30,39,119,1
Bihar,Aurangabad,2025-10-31,40,109,0
Bihar,Aurangabad,2025-11-01,5,30,1
Bihar,Aurangabad,2025-11-02,71,208,0
Bihar,Aurangabad,2025-11-03,16,63,1
Bihar,Aurangabad,2025-11-04,1,4,0
Bihar,Aurangabad,2025-11-05,74,278,1
Bihar,Aurangabad,2025-11-06,26,113,0
Bihar,Aurangabad,2025-11-07,44,109,0
Bihar,Aurangabad,2025-11-08,46,144,0
Bihar,Aurangabad,2025-11-09,46,102,0
Bihar,Aurangabad,2025-11-10,55,136,0
Bihar,Aurangabad,2025-11-11,26,56,0
Bihar,Aurangabad,2025-11-12,13,43,0
Bihar,Aurangabad,2025-11-13,3,25,1
Bihar,Aurangabad,2025-11-14,12,34,0
Bihar,Aurangabad,2025-11-15,97,142,0
Bihar,Aurangabad,2025-11-16,30,60,1
Bihar,Aurangabad,2025-11-17,14,33,1
Bihar,Aurangabad,2025-11-18,69,119,1
Bihar,Aurangabad,2025-11-19,89,197,1
Bihar,Aurangabad,2025-11-25,42,116,0
Bihar,Aurangabad,2025-12-15,125,231,1
Bihar,Aurangabad,2025-12-21,51,0,0
Bihar,Aurangabad,2025-12-22,162,3,0
Bihar,Aurangabad,2025-12-23,77,0,0
Bihar,Aurangabad,2025-12-24,48,71,9
Bihar,Aurangabad,2025-12-25,31,202,20
Bihar,Aurangabad,2025-12-26,35,81,3
Bihar,Aurangabad,2025-12-27,15,95,0
Bihar,Aurangabad,2025-12-28,23,49,0
Bihar,Aurangabad,2025-12-29,39,87,3
Bihar,Aurangabad,2025-12-31,50,512,3
Bihar,Aurangabad,2026-01-01,91,335,3
Bihar,Aurangabad,2026-01-02,48,179,11
Bihar,Aurangabad,2026-01-03,3,82,1
Bihar,Aurangabad(BH),2025-06-14,0,1,0
Bihar,Aurangabad(BH),2025-09-05,0,1,0
Bihar,Aurangabad(BH),2025-11-15,1,0,0
Bihar,Aurangabad(BH),2025-11-18,1,0,0
Bihar,Aurangabad(BH),2025-12-22,1,0,0
Bihar,Aurangabad(BH),2025-12-25,0,2,0
Bihar,Aurangabad(BH),2025-12-29,2,0,0
Bihar,Aurangabad(bh),2025-06-09,1,1,0
Bihar,Aurangabad(bh),2025-06-11,1,3,0
Bihar,Aurangabad(bh),2025-06-12,1,2,0
Bihar,Aurangabad(bh),2025-06-13,0,1,0
Bihar,Aurangabad(bh),2025-06-14,1,4,0
Bihar,Aurangabad(bh),2025-06-16,0,1,0
Bihar,Aurangabad(bh),2025-06-18,0,1,0
Bihar,Aurangabad(bh),2025-06-19,0,2,0
Bihar,Aurangabad(bh),2025-09-01,0,1,0
Bihar,Aurangabad(bh),2025-09-03,1,4,0
Bihar,Aurangabad(bh),2025-09-04,2,0,0
Bihar,Aurangabad(bh),2025-09-05,3,1,0
Bihar,Aurangabad(bh),2025-09-07,0,1,0
Bihar,Aurangabad(bh),2025-09-08,3,3,0
Bihar,Aurangabad(bh),2025-09-10,1,0,0
Bihar,Aurangabad(bh),2025-09-12,0,1,0
Bihar,Aurangabad(bh),2025-09-15,0,1,0
Bihar,Aurangabad(bh),2025-09-18,0,2,0
Bihar,Aurangabad(bh),2025-09-20,1,0,0
Bihar,Aurangabad(bh),2025-09-22,1,0,0
Bihar,Aurangabad(bh),2025-09-23,1,0,0
Bihar,Aurangabad(bh),2025-09-24,3,1,0
Bihar,Aurangabad(bh),2025-09-25,3,0,0
Bihar,Aurangabad(bh),2025-09-26,3,0,0
Bihar,Aurangabad(bh),2025-09-29,0,1,0
Bihar,Aurangabad(bh),2025-10-13,1,0,0
Bihar,Aurangabad(bh),2025-10-17,1,3,0
Bihar,Aurangabad(bh),2025-10-24,1,3,0
Bihar,Aurangabad(bh),2025-10-25,1,2,0
Bihar,Aurangabad(bh),2025-10-28,1,3,0
Bihar,Aurangabad(bh),2025-10-30,2,2,0
Bihar,Aurangabad(bh),2025-10-31,0,1,0
Bihar,Aurangabad(bh),2025-11-02,1,0,0
Bihar,Aurangabad(bh),2025-11-05,0,3,0
Bihar,Aurangabad(bh),2025-11-06,1,2,0
Bihar,Aurangabad(bh),2025-11-10,1,0,0
Bihar,Aurangabad(bh),2025-11-11,2,2,0
Bihar,Aurangabad(bh),2025-11-13,1,0,0
Bihar,Aurangabad(bh),2025-11-14,1,0,0
Bihar,Aurangabad(bh),2025-11-15,0,3,0
Bihar,Aurangabad(bh),2025-11-16,0,2,0
Bihar,Aurangabad(bh),2025-11-17,0,1,0
Bihar,Aurangabad(bh),2025-11-18,2,4,0
Bihar,Aurangabad(bh),2025-11-19,1,1,0
Bihar,Aurangabad(bh),2025-11-25,0,1,0
Bihar,Aurangabad(bh),2025-12-15,1,3,0
Bihar,Aurangabad(bh),2025-12-21,1,0,0
Bihar,Aurangabad(bh),2025-12-24,2,0,0
Bihar,Aurangabad(bh),2025-12-25,0,2,0
Bihar,Aurangabad(bh),2025-12-26,1,0,0
Bihar,Aurangabad(bh),2025-12-31,0,7,0
Bihar,Aurangabad(bh),2026-01-01,0,4,0
Bihar,Aurangabad(bh),2026-01-02,1,3,0
Bihar,Aurangabad(bh),2026-01-03,0,2,0
Bihar,Banka,2025-06-01,397,542,36
Bihar,Banka,2025-06-09,90,95,1
Bihar,Banka,2025-06-10,98,128,1
Bihar,Banka,2025-06-11,27,38,0
Bihar,Banka,2025-06-12,61,62,1
Bihar,Banka,2025-06-13,74,66,4
Bihar,Banka,2025-06-14,31,59,1
Bihar,Banka,2025-06-15,8,6,0
Bihar,Banka,2025-06-16,60,81,3
Bihar,Banka,2025-06-17,88,98,2
Bihar,Banka,2025-06-18,31,45,3
Bihar,Banka,2025-06-19,54,79,3
Bihar,Banka,2025-07-01,148,269,11
Bihar,Banka,2025-09-01,57,61,0
Bihar,Banka,2025-09-02,107,71,0
Bihar,Banka,2025-09-03,54,49,0
Bihar,Banka,2025-09-04,35,45,1
Bihar,Banka,2025-09-05,16,34,0
Bihar,Banka,2025-09-06,64,77,0
Bihar,Banka,2025-09-07,12,3,0
Bihar,Banka,2025-09-08,110,80,0
Bihar,Banka,2025-09-09,83,95,0
Bihar,Banka,2025-09-10,96,67,0
Bihar,Banka,2025-09-11,85,62,0
Bihar,Banka,2025-09-12,79,60,0
Bihar,Banka,2025-09-13,38,29,1
Bihar,Banka,2025-09-14,17,13,0
Bihar,Banka,2025-09-15,60,47,0
Bihar,Banka,2025-09-16,57,53,0
Bihar,Banka,2025-09-17,25,20,0
Bihar,Banka,2025-09-18,75,49,0
Bihar,Banka,2025-09-19,65,52,0
Bihar,Banka,2025-09-20,69,69,0
Bihar,Banka,2025-09-21,5,9,0
Bihar,Banka,2025-09-22,36,38,0
Bihar,Banka,2025-09-23,76,36,0
Bihar,Banka,2025-09-24,67,46,0
Bihar,Banka,2025-09-25,68,53,0
Bihar,Banka,2025-09-26,54,29,0
Bihar,Banka,2025-09-27,20,12,0
Bihar,Banka,2025-09-28,1,3,0
Bihar,Banka,2025-09-29,0,1,0
Bihar,Banka,2025-10-13,166,114,3
Bihar,Banka,2025-10-15,134,82,2
Bihar,Banka,2025-10-16,73,51,5
Bihar,Banka,2025-10-17,279,146,0
Bihar,Banka,2025-10-18,97,63,2
Bihar,Banka,2025-10-19,106,77,0
Bihar,Banka,2025-10-20,25,28,0
Bihar,Banka,2025-10-21,12,7,0
Bihar,Banka,2025-10-23,0,0,2
Bihar,Banka,2025-10-24,55,43,1
Bihar,Banka,2025-10-25,115,49,4
Bihar,Banka,2025-10-26,41,42,1
Bihar,Banka,2025-10-27,30,27,0
Bihar,Banka,2025-10-28,30,38,0
Bihar,Banka,2025-10-29,27,11,0
Bihar,Banka,2025-10-30,84,45,0
Bihar,Banka,2025-10-31,73,45,0
Bihar,Banka,2025-11-01,20,15,0
Bihar,Banka,2025-11-02,172,121,0
Bihar,Banka,2025-11-03,43,24,0
Bihar,Banka,2025-11-04,1,0,0
Bihar,Banka,2025-11-05,173,132,0
Bihar,Banka,2025-11-06,65,60,0
Bihar,Banka,2025-11-07,72,43,0
Bihar,Banka,2025-11-08,84,60,0
Bihar,Banka,2025-11-09,75,54,1
Bihar,Banka,2025-11-10,110,79,1
Bihar,Banka,2025-11-11,51,26,1
Bihar,Banka,2025-11-12,14,27,0
Bihar,Banka,2025-11-13,14,15,0
Bihar,Banka,2025-11-14,24,13,0
Bihar,Banka,2025-11-15,143,67,0
Bihar,Banka,2025-11-16,52,32,0
Bihar,Banka,2025-11-17,30,15,2
Bihar,Banka,2025-11-18,82,44,0
Bihar,Banka,2025-11-19,179,77,2
Bihar,Banka,2025-11-25,32,29,0
Bihar,Banka,2025-12-15,244,178,0
Bihar,Banka,2025-12-21,74,0,0
Bihar,Banka,2025-12-22,276,6,0
Bihar,Banka,2025-12-23,123,2,0
Bihar,Banka,2025-12-24,96,38,3
Bihar,Banka,2025-12-25,59,131,0
Bihar,Banka,2025-12-26,70,63,0
Bihar,Banka,2025-12-27,65,57,0
Bihar,Banka,2025-12-28,58,69,0
Bihar,Banka,2025-12-29,64,46,0
Bihar,Banka,2025-12-31,116,296,1
Bihar,Banka,2026-01-01,169,182,1
Bihar,Banka,2026-01-02,91,119,1
Bihar,Banka,2026-01-03,6,44,1
Bihar,Begusarai,2025-06-09,115,149,3
Bihar,Begusarai,2025-06-10,94,129,3
Bihar,Begusarai,2025-06-11,30,24,0
Bihar,Begusarai,2025-06-12,71,85,5
Bihar,Begusarai,2025-06-13,54,82,1
Bihar,Begusarai,2025-06-14,51,66,1
Bihar,Begusarai,2025-06-15,26,21,0
Bihar,Begusarai,2025-06-16,84,101,0
Bihar,Begusarai,2025-06-17,123,133,3
Bihar,Begusarai,2025-06-18,74,70,2
Bihar,Begusarai,2025-06-19,86,133,1
Bihar,Begusarai,2025-07-01,377,372,13
Bihar,Begusarai,2025-09-01,118,110,1
Bihar,Begusarai,2025-09-02,138,117,1
Bihar,Begusarai,2025-09-03,124,86,1
Bihar,Begusarai,2025-09-04,112,63,0
Bihar,Begusarai,2025-09-05,27,19,0
Bihar,Begusarai,2025-09-06,145,92,1
Bihar,Begusarai,2025-09-07,5,6,0
Bihar,Begusarai,2025-09-08,119,91,1
Bihar,Begusarai,2025-09-09,108,81,2
Bihar,Begusarai,2025-09-10,132,88,0
Bihar,Begusarai,2025-09-11,82,53,0
Bihar,Begusarai,2025-09-12,104,63,0
Bihar,Begusarai,2025-09-13,41,39,0
Bihar,Begusarai,2025-09-14,4,3,0
Bihar,Begusarai,2025-09-15,101,56,1
Bihar,Begusarai,2025-09-16,92,49,0
Bihar,Begusarai,2025-09-17,53,49,0
Bihar,Begusarai,2025-09-18,115,58,0
Bihar,Begusarai,2025-09-19,115,65,1
Bihar,Begusarai,2025-09-20,75,66,0
Bihar,Begusarai,2025-09-21,1,4,0
Bihar,Begusarai,2025-09-22,67,45,0
Bihar,Begusarai,2025-09-23,61,57,0
Bihar,Begusarai,2025-09-24,119,64,0
Bihar,Begusarai,2025-09-25,145,56,0
Bihar,Begusarai,2025-09-26,85,24,0
Bihar,Begusarai,2025-09-27,41,10,0
Bihar,Begusarai,2025-09-28,2,0,0
Bihar,Begusarai,2025-09-29,7,2,0
Bihar,Begusarai,2025-10-13,201,111,5
Bihar,Begusarai,2025-10-15,147,84,2
Bihar,Begusarai,2025-10-16,89,53,2
Bihar,Begusarai,2025-10-17,277,171,1
Bihar,Begusarai,2025-10-18,137,79,2
Bihar,Begusarai,2025-10-19,165,65,1
Bihar,Begusarai,2025-10-20,22,19,0
Bihar,Begusarai,2025-10-21,13,16,0
Bihar,Begusarai,2025-10-23,0,0,1
Bihar,Begusarai,2025-10-24,74,36,0
Bihar,Begusarai,2025-10-25,146,67,1
Bihar,Begusarai,2025-10-26,51,57,3
Bihar,Begusarai,2025-10-27,33,23,0
Bihar,Begusarai,2025-10-28,32,32,0
Bihar,Begusarai,2025-10-29,18,21,1
Bihar,Begusarai,2025-10-30,67,49,1
Bihar,Begusarai,2025-10-31,73,57,1
Bihar,Begusarai,2025-11-01,21,20,0
Bihar,Begusarai,2025-11-02,134,81,0
Bihar,Begusarai,2025-11-03,33,24,1
Bihar,Begusarai,2025-11-04,1,0,0
Bihar,Begusarai,2025-11-05,150,94,0
Bihar,Begusarai,2025-11-06,52,27,0
Bihar,Begusarai,2025-11-07,28,16,0
Bihar,Begusarai,2025-11-08,79,32,2
Bihar,Begusarai,2025-11-09,66,32,0
Bihar,Begusarai,2025-11-10,101,69,2
Bihar,Begusarai,2025-11-11,72,48,0
Bihar,Begusarai,2025-11-12,74,46,1
Bihar,Begusarai,2025-11-13,41,31,0
Bihar,Begusarai,2025-11-14,117,54,0
Bihar,Begusarai,2025-11-15,255,126,0
Bihar,Begusarai,2025-11-16,71,53,0
Bihar,Begusarai,2025-11-17,32,28,3
Bihar,Begusarai,2025-11-18,111,71,0
Bihar,Begusarai,2025-11-19,266,144,0
Bihar,Begusarai,2025-11-25,59,57,0
Bihar,Begusarai,2025-12-15,403,312,0
Bihar,Begusarai,2025-12-21,101,1,0
Bihar,Begusarai,2025-12-22,354,4,0
Bihar,Begusarai,2025-12-23,159,0,0
Bihar,Begusarai,2025-12-24,87,58,1
Bihar,Begusarai,2025-12-25,55,131,1
Bihar,Begusarai,2025-12-26,151,61,0
Bihar,Begusarai,2025-12-27,159,80,0
Bihar,Begusarai,2025-12-28,181,94,0
Bihar,Begusarai,2025-12-29,75,37,0
Bihar,Begusarai,2025-12-31,217,361,2
Bihar,Begusarai,2026-01-01,279,217,1
Bihar,Begusarai,2026-01-02,166,134,0
Bihar,Begusarai,2026-01-03,9,54,0
Bihar,Bhabua,2025-06-09,0,1,0
Bihar,Bhabua,2025-06-10,0,1,0
Bihar,Bhabua,2025-06-17,0,2,0
Bihar,Bhabua,2025-06-19,2,2,0
Bihar,Bhabua,2025-09-01,0,1,0
Bihar,Bhabua,2025-09-03,1,1,0
Bihar,Bhabua,2025-09-04,1,0,0
Bihar,Bhabua,2025-09-06,0,1,0
Bihar,Bhabua,2025-09-08,0,1,0
Bihar,Bhabua,2025-09-09,0,1,0
Bihar,Bhabua,2025-09-11,0,1,0
Bihar,Bhabua,2025-09-13,1,0,0
Bihar,Bhabua,2025-09-22,1,0,0
Bihar,Bhabua,2025-10-13,1,1,0
Bihar,Bhabua,2025-10-15,1,0,0
Bihar,Bhabua,2025-10-18,1,0,0
Bihar,Bhabua,2025-10-24,0,1,0
Bihar,Bhabua,2025-10-25,1,0,0
Bihar,Bhabua,2025-10-26,0,1,0
Bihar,Bhabua,2025-11-02,1,2,0
Bihar,Bhabua,2025-11-09,1,1,0
Bihar,Bhabua,2025-11-10,1,0,0
Bihar,Bhabua,2025-11-19,0,1,0
Bihar,Bhabua,2025-11-25,0,1,0
Bihar,Bhabua,2025-12-15,1,0,0
Bihar,Bhabua,2025-12-21,1,0,0
Bihar,Bhabua,2025-12-31,1,3,0
Bihar,Bhagalpur,2025-03-09,13,40,18
Bihar,Bhagalpur,2025-04-01,678,534,26
Bihar,Bhagalpur,2025-05-01,1500,1363,85
Bihar,Bhagalpur,2025-06-01,1407,2293,150
Bihar,Bhagalpur,2025-06-09,107,182,4
Bihar,Bhagalpur,2025-06-10,99,176,1
Bihar,Bhagalpur,2025-06-11,64,112,1
Bihar,Bhagalpur,2025-06-12,67,155,9
Bihar,Bhagalpur,2025-06-13,85,132,2
Bihar,Bhagalpur,2025-06-14,57,110,4
Bihar,Bhagalpur,2025-06-15,17,69,6
Bihar,Bhagalpur,2025-06-16,80,135,3
Bihar,Bhagalpur,2025-06-17,75,207,4
Bihar,Bhagalpur,2025-06-18,60,120,5
Bihar,Bhagalpur,2025-06-19,86,169,2
Bihar,Bhagalpur,2025-07-01,184,358,15
Bihar,Bhagalpur,2025-09-01,92,118,1
Bihar,Bhagalpur,2025-09-02,116,126,1
Bihar,Bhagalpur,2025-09-03,104,109,0
Bihar,Bhagalpur,2025-09-04,73,75,1
Bihar,Bhagalpur,2025-09-05,30,46,0
Bihar,Bhagalpur,2025-09-06,72,78,0
Bihar,Bhagalpur,2025-09-07,20,55,0
Bihar,Bhagalpur,2025-09-08,139,122,0
Bihar,Bhagalpur,2025-09-09,117,117,0
Bihar,Bhagalpur,2025-09-10,103,103,1
Bihar,Bhagalpur,2025-09-11,109,109,0
Bihar,Bhagalpur,2025-09-12,75,101,0
Bihar,Bhagalpur,2025-09-13,46,44,0
Bihar,Bhagalpur,2025-09-14,30,30,0
Bihar,Bhagalpur,2025-09-15,55,52,0
